gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
3841-5	informative-cc	0.637	OTHER	0	0	0	FALSE	FALSE	TRUE	pepper	black	black_pepper	black_avocado	red_pepper	other
3841-5	overinformative	0.924	color	1	0	0	TRUE	FALSE	FALSE	pear	yellow	yellow_pear	orange_carrot	green_apple	yellow
3841-5	overinformative-cc	0.812	OTHER	0	0	0	TRUE	FALSE	TRUE	avocado	black	black_avocado	orange_pepper	black_pepper	other
3841-5	informative-cc	0.924	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	yellow	yellow_pear	green_pear	yellow_banana	yellow_pear
3841-5	overinformative-cc	0.966	type	0	0	1	FALSE	TRUE	FALSE	avocado	green	green_avocado	blue_banana	green_pepper	avocado
3841-5	overinformative	0.953	color	1	0	0	TRUE	FALSE	FALSE	apple	red	red_apple	black_pepper	green_tomato	red
3841-5	informative-cc	0.841	OTHER	0	0	0	TRUE	TRUE	TRUE	pepper	orange	orange_pepper	black_pepper	green_avocado	other
3841-5	informative	0.962	color	1	0	0	TRUE	FALSE	FALSE	tomato	red	red_tomato	green_apple	green_tomato	red
3841-5	overinformative-cc	0.953	OTHER	0	0	0	FALSE	FALSE	TRUE	apple	red	red_apple	red_tomato	black_pepper	other
3841-5	informative-cc	0.962	OTHER	0	0	0	TRUE	TRUE	TRUE	tomato	red	red_tomato	purple_tomato	purple_carrot	other
3841-5	overinformative	0.696	type	0	0	1	FALSE	TRUE	FALSE	avocado	red	red_avocado	orange_pepper	brown_carrot	avocado
3841-5	informative-cc	0.686	OTHER	0	0	0	TRUE	FALSE	TRUE	pear	orange	orange_pear	yellow_pear	orange_carrot	other
3841-5	overinformative	0.953	color	1	0	0	TRUE	FALSE	FALSE	pear	green	green_pear	black_avocado	red_avocado	green
3841-5	overinformative-cc	0.657	OTHER	0	0	0	TRUE	FALSE	TRUE	banana	brown	brown_banana	brown_carrot	green_pear	other
3841-5	informative	0.462	color	1	0	0	TRUE	FALSE	FALSE	apple	blue	blue_apple	green_avocado	red_apple	blue
3841-5	informative-cc	0.966	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	green	green_avocado	black_avocado	green_pepper	green_avocado
