gameid	Trial	condition	TargetItem	basiclevelClickedObj	superdomainClickedObj	speakerMessages	listenerMessages	refExp	clickedType	sub	basic	super	moreThanOneLevelMentioned	additionalAttrMentioned	oneMentioned	theMentioned	fullSentence	spLocsClickedObj	lisLocsClickedObj	alt1Name	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain
1997-d	14	basic23	sportsCar	car	vehicle	car		car	sportsCar	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	pretzels	3	3	NA	snack	train	2	2	NA	vehicle
1997-d	18	basic23	coffeeTable	table	furniture	table		table	coffeeTable	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	bed	2	4	NA	furniture	popcorn	4	2	NA	snack
1997-d	19	basic23	parrot	bird	animal	bird		bird	parrot	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	rhino	4	4	NA	animal	firetruck	2	3	NA	vehicle
1997-d	22	basic23	gummyBears	candy	snack	candy		candy	gummyBears	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	chips	3	3	NA	snack	pig	2	2	NA	animal
1997-d	23	basic22	hummingBird	bird	animal	bird		bird	hummingBird	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	crocodile	4	2	NA	animal	lion	2	3	NA	animal
1997-d	27	basic22	blackBear	bear	animal	bear		bear	blackBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	3	crocodile	3	2	NA	animal	horse	2	4	NA	animal
1997-d	29	basic12	diningTable	table	furniture	large table		large table	diningTable	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	3	3	wardrobe	4	2	NA	furniture	sideTable	2	4	table	furniture
1997-d	31	basic33	sunflower	flower	plant	flower		flower	sunflower	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	snake	3	4	NA	animal	pretzels	4	2	NA	snack
1997-d	34	basic33	goldFish	fish	animal	fish		fish	goldFish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	chips	4	2	NA	snack	gloves	2	3	NA	clothing
1997-d	35	basic12	grizzlyBear	bear	animal	bear		bear	grizzlyBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	koalaBear	2	3	bear	animal	rhino	4	2	NA	animal
1997-d	37	basic23	rose	flower	plant	flower		flower	rose	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	snake	4	4	NA	animal	ivy	2	2	NA	plant
1997-d	39	basic33	pigeon	bird	animal	bird		bird	pigeon	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	firetruck	4	3	NA	vehicle	pottedPlant	2	2	NA	plant
1997-d	40	basic12	bedsideTable	table	furniture	nightstand		nightstand	bedsideTable	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	sideTable	4	4	table	furniture	lamp	2	3	NA	furniture
1997-d	41	basic33	minivan	car	vehicle	car		car	minivan	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	pretzels	2	2	NA	snack	snake	4	3	NA	animal
1997-d	43	basic22	jellyBeans	candy	snack	candy		candy	jellyBeans	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	pretzels	2	3	NA	snack	chips	4	2	NA	snack
1997-d	44	basic22	polarBear	bear	animal	bear		bear	polarBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	snake	3	3	NA	animal	lobster	2	2	NA	animal
1997-d	45	basic23	pandaBear	bear	animal	panda		panda	pandaBear	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	hamster	4	2	NA	animal	firetruck	2	3	NA	vehicle
1997-d	46	basic33	picnicTable	table	furniture	table		table	picnicTable	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	firetruck	2	2	NA	vehicle	horse	4	3	NA	animal
1997-d	47	basic33	pug	dog	animal	dog		dog	pug	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	pretzels	2	4	NA	snack	socks	3	3	NA	clothing
1997-d	48	basic33	eagle	bird	animal	bird		bird	eagle	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	firetruck	3	4	NA	vehicle	pottedPlant	4	3	NA	plant
1997-d	49	basic12	mnMs	candy	snack	m&m		m&m	mnMs	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	candyCorn	3	2	candy	snack	pretzels	4	4	NA	snack
