Item,Color,Utterance,Typicality,CI.low,CI.high
pear,orange,orange pepper,0.101,0.0472222222222222,0.161111111111111
pear,orange,purple carrot,0.014,0.000999999999999999,0.036
pear,orange,purple tomato,0.035,0.009,0.07
pear,orange,red apple,0.09,0.0323690476190476,0.160488095238095
pear,orange,red avocado,0.065,0.0161153846153846,0.135403846153846
pear,orange,red pepper,0.069,0.0333333333333333,0.118354166666667
pear,orange,red tomato,0.072,0.0258125,0.1250625
pear,orange,yellow banana,0.048,0.00692307692307692,0.1085
pear,orange,yellow pear,0.277,0.2408109375,0.31556875
pear,yellow,black avocado,0.016,0.00631578947368421,0.0284210526315789
pear,yellow,black pepper,0.012,0.003125,0.021875
pear,yellow,blue apple,0.013,0.00444444444444445,0.0233333333333333
pear,yellow,blue banana,0.018,0.00615384615384615,0.0300192307692308
pear,yellow,brown banana,0.094,0.0461538461538462,0.143076923076923
pear,yellow,brown carrot,0.054,0.0105,0.1270125
pear,yellow,green apple,0.046,0.00444444444444445,0.0995
pear,yellow,green avocado,0.044,0.0111111111111111,0.0855555555555556
pear,yellow,green pear,0.368,0.324296875,0.410003125
pear,yellow,green pepper,0.083,0.0177777777777778,0.182222222222222
pear,yellow,green tomato,0.026,0.00459615384615385,0.0630769230769231
pear,yellow,orange carrot,0.043,0.0177272727272727,0.0722954545454545
pear,yellow,orange pear,0.436,0.3932265625,0.4801328125
pear,yellow,orange pepper,0.09,0.0407692307692308,0.15
pear,yellow,purple carrot,0.015,0.00166666666666667,0.0383333333333333
pear,yellow,purple tomato,0.1,0,0.22
pear,yellow,red apple,0.066,0.019975,0.125
pear,yellow,red avocado,0.023,0.00421052631578947,0.0473815789473684
pear,yellow,red pepper,0.028,0.00578947368421052,0.0573815789473684
pear,yellow,red tomato,0.055,0.0104642857142857,0.129047619047619
pear,yellow,yellow banana,0.056,0.0169230769230769,0.106173076923077
pear,yellow,yellow pear,0.943,0.9237421875,0.961509375
pepper,black,black avocado,0.049,0.0147236842105263,0.0910526315789474
pepper,black,black pepper,0.877,0.830695255474453,0.916801094890511
pepper,black,blue apple,0.03,0.00833333333333333,0.0608333333333333
pepper,black,blue banana,0.013,0.00333333333333333,0.025
pepper,black,brown banana,0.029,0.0111111111111111,0.0555555555555556
pepper,black,brown carrot,0.032,0.00466666666666667,0.06735
pepper,black,green apple,0.007,0.000909090909090909,0.0190909090909091
pepper,black,green avocado,0.043,0.0156521739130435,0.0778260869565217
pepper,black,green pear,0.074,0.023,0.134
pepper,black,green pepper,0.206,0.173426573426573,0.240281468531469
